Time_s,Front_Depth_d1_m,Middle_Depth_d2_m,Rear_Depth_d3_m,Pump_Mass_kg
1,1.9848,1.9853,1.9857,0.005
2,1.9827,1.9826,1.9824,0
3,1.9829,1.9833,1.9836,0
4,1.9845,1.9838,1.9831,0.005
5,1.9694,1.969,1.9685,0.005
6,1.9669,1.9666,1.9663,0
7,1.9684,1.9689,1.9694,0
8,1.9656,1.9667,1.9678,6.2172e-16
9,1.9542,1.9531,1.952,0.005
10,1.952,1.9523,1.9525,0
11,1.9536,1.9531,1.9527,0
12,1.953,1.952,1.9511,1.3323e-15
13,1.9387,1.9382,1.9378,0.005
14,1.935,1.9362,1.9374,0
15,1.9359,1.9361,1.9362,0
16,1.9371,1.9378,1.9384,2.0428e-15
17,1.9243,1.9242,1.9241,0.005
18,1.9218,1.9215,1.9213,0
19,1.9226,1.9227,1.9229,0
20,1.9213,1.9226,1.9239,0.005
21,1.907,1.9076,1.9083,1.4211e-15
22,1.9073,1.9076,1.9079,0
23,1.9079,1.9064,1.9048,0
24,1.9074,1.9073,1.9072,0.005
25,1.8924,1.8928,1.8932,4.2633e-15
26,1.8926,1.892,1.8914,0
27,1.8937,1.8932,1.8927,0
28,1.8922,1.8924,1.8927,0.005
29,1.8775,1.8783,1.8791,7.1054e-15
30,1.8771,1.8774,1.8778,0
31,1.8757,1.8763,1.8769,0
32,1.878,1.8776,1.8772,0.005
33,1.8621,1.8616,1.8612,9.9476e-15
34,1.8621,1.8619,1.8618,0
35,1.863,1.8631,1.8632,0
36,1.8603,1.8616,1.8629,0.005
37,1.8463,1.8468,1.8474,1.279e-14
38,1.848,1.8475,1.8471,0
39,1.848,1.8478,1.8475,0
40,1.8454,1.8466,1.8478,0.005
41,1.8319,1.8316,1.8313,1.5632e-14
42,1.833,1.8325,1.8321,0
43,1.8317,1.8323,1.8329,0
44,1.832,1.8318,1.8315,0.005
45,1.8178,1.8173,1.8168,1.8474e-14
46,1.8178,1.818,1.8182,0
47,1.8154,1.8149,1.8144,0
48,1.8185,1.8185,1.8185,0.005
49,1.8021,1.8014,1.8006,2.1316e-14
50,1.8012,1.8016,1.802,0
51,1.8001,1.801,1.8018,0
52,1.8017,1.8003,1.7989,0.005
53,1.7876,1.787,1.7863,2.4158e-14
54,1.7879,1.7874,1.7869,0
55,1.7862,1.7863,1.7864,0
56,1.7884,1.7875,1.7867,0.005
57,1.7713,1.7715,1.7716,2.7001e-14
58,1.7731,1.7717,1.7703,0
59,1.7725,1.7712,1.7698,0
60,1.7724,1.7729,1.7734,0.005
61,1.7565,1.7574,1.7582,2.9843e-14
62,1.758,1.7584,1.7587,0
63,1.7598,1.7583,1.7569,0
64,1.7568,1.7563,1.7558,0.005
65,1.7418,1.742,1.7421,2.9132e-14
66,1.7416,1.7409,1.7403,0
67,1.7397,1.7414,1.743,0
68,1.7436,1.743,1.7424,0.005
69,1.727,1.727,1.7271,1.7764e-14
70,1.7275,1.7271,1.7267,0
71,1.726,1.726,1.7261,0
72,1.7261,1.726,1.7258,0.005
73,1.712,1.7115,1.7111,6.3949e-15
74,1.7108,1.7119,1.7131,0
75,1.7119,1.7104,1.709,0
76,1.7127,1.7125,1.7124,2.1316e-15
77,1.6989,1.6985,1.6981,0.005
78,1.6972,1.6977,1.6983,0
79,1.6969,1.6961,1.6952,0
80,1.6964,1.6967,1.6971,1.35e-14
81,1.6834,1.6837,1.684,0.005
82,1.682,1.6824,1.6828,0
83,1.6823,1.682,1.6817,0
84,1.6821,1.6814,1.6807,2.4869e-14
85,1.6692,1.6681,1.667,0.005
86,1.6675,1.6679,1.6682,0
87,1.6689,1.6691,1.6693,0
88,1.6673,1.6669,1.6665,3.6238e-14
89,1.6538,1.6539,1.6539,0.005
90,1.6515,1.6518,1.652,0
91,1.6515,1.6516,1.6518,0
92,1.6512,1.6522,1.6533,4.7606e-14
93,1.6378,1.6389,1.64,0.005
94,1.6364,1.6364,1.6364,0
95,1.6353,1.6371,1.6388,0
96,1.6345,1.6356,1.6367,5.8975e-14
97,1.624,1.6242,1.6244,0.005
98,1.6217,1.6215,1.6213,0
99,1.6227,1.6229,1.623,0
100,1.6214,1.6204,1.6194,7.0344e-14
101,1.6086,1.6095,1.6103,0.005
102,1.6075,1.6068,1.6061,0
103,1.6067,1.6056,1.6045,0
104,1.6058,1.6059,1.606,8.1712e-14
105,1.5934,1.5934,1.5934,0.005
106,1.5918,1.5919,1.592,0
107,1.5914,1.5925,1.5936,0
108,1.5926,1.5919,1.5912,9.3081e-14
109,1.5779,1.5784,1.5789,0.005
110,1.5779,1.5788,1.5796,0
111,1.5754,1.5759,1.5763,0
112,1.578,1.5784,1.5789,1.0445e-13
113,1.5617,1.5625,1.5634,0.005
114,1.5616,1.5618,1.5621,0
115,1.5611,1.5614,1.5617,0
116,1.5612,1.5617,1.5623,1.1582e-13
117,1.5482,1.5484,1.5486,0.005
118,1.5468,1.5467,1.5466,0
119,1.5469,1.5461,1.5454,0
120,1.5467,1.5474,1.5481,1.2719e-13
121,1.5322,1.5328,1.5334,0.005
122,1.5326,1.5315,1.5303,0
123,1.5324,1.5323,1.5322,0
124,1.5325,1.5325,1.5324,1.3856e-13
125,1.5197,1.5196,1.5196,0.005
126,1.517,1.5172,1.5173,0
127,1.5157,1.5163,1.5169,0
128,1.5162,1.5156,1.5149,1.4992e-13
129,1.5047,1.5041,1.5034,0.005
130,1.5025,1.5029,1.5033,0
131,1.5031,1.5033,1.5035,0
132,1.5005,1.5021,1.5038,1.6058e-13
133,1.4899,1.4894,1.4889,0.005
134,1.4865,1.4865,1.4866,0
135,1.486,1.4872,1.4884,0
136,1.4852,1.4859,1.4867,1.7195e-13
137,1.4732,1.4734,1.4736,0.005
138,1.4697,1.471,1.4723,0
139,1.4728,1.472,1.4712,0
140,1.4716,1.4717,1.4717,1.8332e-13
141,1.4589,1.4579,1.4568,0.005
142,1.457,1.4563,1.4555,0
143,1.458,1.4577,1.4575,0
144,1.4574,1.4567,1.4559,1.9469e-13
145,1.4439,1.4435,1.4432,0.005
146,1.4413,1.4423,1.4433,0
147,1.4399,1.441,1.442,0
148,1.4423,1.4416,1.4409,2.0606e-13
149,1.4263,1.427,1.4277,0.005
150,1.4274,1.4272,1.4271,0
151,1.4266,1.4262,1.4257,0
152,1.4278,1.4263,1.4248,2.1743e-13
153,1.4145,1.4139,1.4132,0.005
154,1.4128,1.4121,1.4115,0
