Time_s,Front_Depth_d1_m,Middle_Depth_d2_m,Rear_Depth_d3_m,Pump_Mass_kg
1,0.016029,0.015394,0.01476,0.005
2,0.028316,0.029247,0.030177,0.005
3,0.044489,0.044968,0.045446,6.6613e-17
4,0.044181,0.045087,0.045992,0.005
5,0.059395,0.059908,0.060422,0.005
6,0.074844,0.074784,0.074725,0.005
7,0.090244,0.090821,0.091398,0.005
8,0.093078,0.092334,0.09159,6.2172e-16
9,0.10502,0.10458,0.10414,0.005
10,0.11861,0.11864,0.11866,0.005
11,0.13614,0.13579,0.13545,0.005
12,0.13611,0.13599,0.13588,1.3323e-15
13,0.14786,0.1489,0.14994,0.005
14,0.16411,0.16519,0.16626,0.005
15,0.18125,0.18164,0.18202,0.005
16,0.18129,0.1806,0.17991,2.0428e-15
17,0.19562,0.19561,0.1956,0.005
18,0.21111,0.21115,0.21118,0.005
19,0.2228,0.22406,0.22532,0
20,0.22521,0.22526,0.22532,0.005
21,0.24091,0.24058,0.24025,0.005
22,0.25435,0.25489,0.25542,0.005
23,0.27071,0.27049,0.27028,2.8422e-15
24,0.27005,0.27036,0.27067,0.005
25,0.28583,0.28568,0.28553,0.005
26,0.29936,0.29948,0.2996,0.005
27,0.31498,0.3153,0.31562,5.6843e-15
28,0.31402,0.31544,0.31686,0.005
29,0.32948,0.32957,0.32966,0.005
30,0.34691,0.34547,0.34402,0.005
31,0.35986,0.36047,0.36107,8.5265e-15
32,0.36008,0.35981,0.35953,0.005
33,0.37328,0.37458,0.37589,0.005
34,0.39055,0.38991,0.38927,0.005
35,0.40557,0.40542,0.40528,1.1369e-14
36,0.40355,0.40503,0.40652,0.005
37,0.42003,0.41995,0.41987,0.005
38,0.43439,0.43421,0.43403,0.005
39,0.4502,0.44983,0.44945,1.4211e-14
40,0.45071,0.45112,0.45154,0.005
41,0.46295,0.46398,0.465,0.005
42,0.47952,0.47962,0.47972,0.005
43,0.49678,0.49684,0.49689,1.7053e-14
44,0.49736,0.49618,0.495,0.005
45,0.50997,0.50962,0.50926,0.005
46,0.52409,0.52402,0.52395,0.005
47,0.54049,0.54088,0.54126,1.9895e-14
